0,MT103 Single Customer Credit Transfer ,,,,,, -> ,pacs.008.001.08 FIToFICustomerCreditTransferV08,,,,,,,,,
1,Multiplicity,FieldTag,OptionLetter,Field Name,Option Format,Subfield Name, -> ,Message Building Block,Nesting Level 1,Nesting Level 2,Nesting Level 3,Nesting Level 4,Master function,"Translation 
Function",Comments,MT103 STP to pacs.008 CORE - Deltas,Comments
137,,57,B,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
{MT_To_MXFinancialInstitutionAccount
Copy ""NOTPROVIDED"" to CreditorAgent/FinancialInstitutionIdentification/Name
   IF Location IsPresent THEN
        Copy Location to CreditorAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
    ELSE Copy ""NOTPROVIDED"" to CreditorAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine[1]
    ENDIF
}
ENDIF

",,N/A,
138,,,,,[35x],Location,,,CreditorAgent,,,,,,,N/A,
139,,57,C,Account With Institution,/34x,, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,N/A,
140,,57,C,Account With Institution,/34x,PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" THEN
TR015
ENDIF
","Dummy values might be used in Agent's Name and PostalAddresss in order to meet the CBPR+ rule for the agents in case of International payments ""IF BIC IsAbsent, Then Name and PostalAddress are mandatory"". A ClearingCode alone is alowed in case of national payments. Dummy values are still used if needed, to comply with International payment rule. For example, value ""NOTPROVIDED"" in AddressLine, if no (structured or unstructured) address is provided.
After ""//RT"", another Domestic Clearing code can follow in option C
MTClearingSystemCode might be proprietary and not listed in ISO list. 
",N/A,
141,,57,C,Account With Institution,/34x,PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH"" THEN
{MT_To_MXFinancialInstitutionAccount
Copy ""NOTPROVIDED"" to CreditorAgent/FinancialInstitutionIdentification/Name
Copy ""NOTPROVIDED"" to CreditorAgent/FinancialInstitutionIdentification/PostalAddress/AddressLine}
ENDIF",,N/A,
142,,57,D,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,PaymentTypeInformation,ClearingChannel,,,,TR009,,N/A,
143,,,,,4*35x,NameAndAddress,,,,,,,,,,N/A,
144,,57,D,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgent,,,,,"IF PartyIdentifier starts with ""//"" AND does not start with ""//CH"" 
THEN MT_To_MXClearingIdentifier
ENDIF
","After ""//RT"", another Domestic Clearing code can follow in option D
Use the table in word docunment ""MT and ISO 20022 “Externalised” MX Clearing System Lists""
",N/A,
145,,,,,4*35x,NameAndAddress,,,,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
146,,57,D,Account With Institution,[[/1!a][/34x]],PartyIdentifier, -> ,CreditTransferTransactionInformation,CreditorAgentAccount,,,,,"IF PartyIdentifier does not start with ""//"" or starts with ""//CH""
THEN MT_To_MXFinancialInstitutionAccount
ENDIF",,N/A,
147,,,,,4*35x,NameAndAddress,,,CreditorAgent,,,,,MT_To_MXFinancialInstitutionNameAndUnstructuredAddress,,N/A,
116,1..1,59,a,Beneficiary Customer,,, -> ,,,,,,,,,,
150,,59,,Beneficiary Customer,[/34x],Account, -> ,CreditTransferTransactionInformation,CreditorAccount,,,,,"
IF 59/Account IsAbsent THEN Copy ""NOTPROVIDED"" to Creditor/Id/OrgID/Other/ID  
ELSE
MT_To_MXPartyAccount
ENDIF
",Dummy value needed in MX when 59 No option Is present,A,59a/Account is mandatory
151,,,,,4*35x,NameAndAddress,,,Creditor,,,,,MT_To_MXPartyNameAndAddress,,A,
154,,59,A,Beneficiary Customer,[/34x],Account, -> ,CreditTransferTransactionInformation,CreditorAccount,,,,,"IF 59A/Account IsAbsent THEN Copy ""NOTPROVIDED"" to Creditor/Id/OrgID/Other/ID 
ELSE
MT_To_MXPartyAccount
ENDIF
",Dummy value needed in MX when 59A Is present,A,59a/Account is mandatory
155,,,,,4!a2!a2!c[3!c],BIC,,,Creditor,,,,,MT_To_MXAnyBIC,,A,
154,,59,F,Beneficiary Customer,[/34x],Account, -> ,CreditTransferTransactionInformation,CreditorAccount,,,,,"IF 59F/Account IsAbsent THEN Copy ""NOTPROVIDED"" to Creditor/Id/OrgID/Other/ID 
ELSE
MT_To_MXPartyAccount
ENDIF

",Dummy value needed in MX when 59F Is present,A,59a/Account is mandatory
155,,,,,4*(1!n/33x),NameAndAddress,,CreditTransferTransactionInformation,Creditor,,,,,"MT_To_MXPartyNameAndStructuredAddress

",,A,
156,0..1,70,,Remittance Information,4*35x,, -> ,CreditTransferTransactionInformation,PaymentIdentification,EndToEndIdentification,,,,"IF 70 IsAbsent THEN
 Copy ""NOTPROVIDED"" 
ELSE
   TR013
ENDIF",,A,
157,,70,,Remittance Information,4*35x,Narrative, -> ,,,,,,,,,,
158,,70,,Remittance Information,4*35x,Line, -> ,CreditTransferTransactionInformation,RemittanceInformation,Unstructured,,,,  MT_To_MXRemittanceInformation,,A,
159,1..1,71,A,Details of Charges,3!a,, -> ,CreditTransferTransactionInformation,ChargeBearer,,,,,"Translate as following
BEN => CRED
OUR => DEBT
SHA => SHAR",,A,
167,0..*,71,F,Sender's Charges ,3!a15d,, -> ,,,,,,,,,,
168,0..*,71,F,Sender's Charges,3!a15d,, -> ,CreditTransferTransactionInformation,ChargesInformation [71F],Amount,,,,"TR004
",,A,
,,,,,,,,CreditTransferTransactionInformation,ChargesInformation [71F],Agent,,,,,,A,
170,0..1,71,G,Receiver's Charges,3!a15d,, -> ,CreditTransferTransactionInformation,ChargesInformation [71G],Amount,,,,"TR005
",,A,
,,,,,,,,CreditTransferTransactionInformation,ChargesInformation [71G],Agent,,,,,,A,
171,0..1,72,,Sender to Receiver Information[INS],6*35x,, -> ,CreditTransferTransactionInformation,"PreviousInstructingAgent1,2,3[INS]",FinancialInstitutionIdentification,BIC,,,MT72INS_To_MXAgent,"IMPORTANT : MX Agent only allows FI BIC. So the BIC following /INS/ must be a FI BIC. Otherwise replace non FI BIC by the Name in the MT message (CBPR+ WG decision, November 2022). Using a non FI BIC after /INS/ will generate an invalid MX message.",A,
172,,,,,,, -> ,,,,,,,,,,
173,,72,,Sender to Receiver Information[INS],6*35x,, -> ,CreditTransferTransactionInformation,"PreviousInstructingAgent1,2,3[INS]",FinancialInstitutionIdentification,Name,,,,,N/A,
174,,,,,,, -> ,,,,AdressLine ,,,,,N/A,
175,,72,,Sender to Receiver Information[ACC],6*35x,, -> ,CreditTransferTransactionInformation,InstructionForCreditorAgent [ACC],InstructionInformation,,,,MT_To_MXInstructionForCreditorAgent ,"Call once the function (see Field 23E)
IF /ACC/ is present several times in Field 72, only the first occurrence is translated as it is not expected to have a same code present several times. If the information is longer than 30 char, it should be continued on the next line starting with ""//""",A,
176,,,,,,, -> ,,,,,,,,,,
177,,72,,"Sender to Receiver Information[CODE, max 8 char]",6*35x,, -> ,CreditTransferTransactionInformation,InstructionForNextAgent [CODE]  [/FIN54/]  [/FIN53/],,,,,"IF Code is NOT InList {/ACC/, /INS/, /INTA/, /SVCLVL/, /LOCINS/, /CATPURP/} THEN
TR011
ENDIF","/FIN53/ (InstructionForNextAgent53, output from METAFCT001) is also translated to InstructionForNextAgent ",A,
188,0..1,77,B,Regulatory Reporting,3*35x,Line, -> ,CreditTransferTransactionInformation,RegulatoryReporting,Details,Information,,,MT_To_MXRegulatoryReporting,,A,
189,,,,,,/BENEFRES/ , -> ,,Creditor,CountryOfResidence,,,,,,A,
190,,,,,,/ORDERRES/, -> ,,Debtor,CountryOfResidence,,,,,,A,
,Additional Translation due to payment originated in MX ,,,,,,,,,,,,,,Refer to function MX_To_MT72FullField for the additional new code words,,
,,72,,Sender to Receiver Information[INTA],6*35x,, -> ,CreditTransferTransactionInformation,"IntermediaryAgent2,3",FinancialInstitutionIdentification,"BIC or ClearingSystemMemberIdentification,or (Name, CountryCode, TownName)",,,MT_To_MXField72NewCodeWords,,N/A,"pacs.008 STP is translated to MT103 core, so these MX code words are not expected in MT103 STP to pac.008"
,,72,,Sender to Receiver Information[SVCLVL],,,,CreditTransferTransactionInformation,PaymentTypeInformation,ServiceLevel,Code or Proprietary,,,,,N/A,
,,72,,Sender to Receiver Information[LOCINS],,,,CreditTransferTransactionInformation,PaymentTypeInformation,LocalInstrument,Code or Proprietary,,,,,N/A,
,,72,,Sender to Receiver Information[CATPURP],,,,CreditTransferTransactionInformation,PaymentTypeInformation,CategoryPurpose,Code or Proprietary,,,,,N/A,
,,,,,,,,,,,,,,,,,
,,70,,Remittance Information[ULTB],6*35,,,CreditTransferTransactionInformation,UltimateCreditor,,,,,MT_To_MXUltimateParty ,"
CBPR+ decision 23 February 2021 : do not translate back field 70 to MX corresponding element in in-flow translation. ",,
,,70,,Remittance Information[ULTD],,,,CreditTransferTransactionInformation,UltimateDebtor,,,,,,,,
,,70,,Remittance Information[PURP],,,,CreditTransferTransactionInformation,Purpose,Code or Proprietary,,,,MT_To_MXPurpose,,,
,,70,,Remittance Information[URI],,,,CreditTransferTransactionInformation,RemittanceInformation,Unstructured,,,,MT_To_MXRINewCodeWords,"

CBPR+ decision 23 February 2021 : do not translate back field 70 to MX corresponding element in in-flow translation.",,
,,70,,Remittance Information[SRI],,,,CreditTransferTransactionInformation,RemittanceInformation,Unstructured,,,,,,,
,,70,,Remittance Information[RELID],,,,CreditTransferTransactionInformation,RelatedRemittanceInformation,RemittanceIdentification,,,,,,,
